ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim7418,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,231,2000,3161,1,eucalipto1
sim7457,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,323,2003,1973,1,eucalipto1
sim7458,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,98,2004,1833,1,eucalipto1
sim7519,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,12,2006,737,1,eucalipto1
sim7617,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,314,2006,783,1,eucalipto1
sim7619,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,313,2006,784,1,eucalipto1
sim7620,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,313,2006,784,1,eucalipto1
sim7621,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,321,2006,776,1,eucalipto1
sim7629,-21.75,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,320,2006,777,1,eucalipto1
sim7630,-21.75,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,320,2006,777,1,eucalipto1
sim7640,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,86,2004,1875,1,eucalipto1
sim7684,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,121,2005,1386,1,eucalipto1
sim7817,-21.75,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,207,2004,1694,1,eucalipto1
sim7819,-21.75,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,222,2004,1679,1,eucalipto1
sim7820,-21.75,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,189,2004,1712,1,eucalipto1
sim7821,-21.75,-47.75,CELATOFRN2,,1,1,0,0,eucalipto,173,2004,1728,1,eucalipto1
sim7822,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,191,2004,1710,1,eucalipto1
sim7823,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,292,2004,1609,1,eucalipto1
sim7824,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,322,2004,1579,1,eucalipto1
sim7825,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,24,2005,1132,1,eucalipto1
sim7826,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,20,2005,1136,1,eucalipto1
sim7937,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,264,2006,802,1,eucalipto1
sim7939,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,264,2006,802,1,eucalipto1
sim7941,-21.75,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,295,2006,771,1,eucalipto1
sim7942,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,298,2006,768,1,eucalipto1
sim7949,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,206,2006,860,1,eucalipto1
sim7950,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,234,2006,832,1,eucalipto1
sim7951,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,239,2006,827,1,eucalipto1
sim7952,-21.75,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,283,2006,783,1,eucalipto1
