Ano;DOY;hhmm;resto_h;NEE;LE;H;Rg;PAR;Rn;  G;Rain;Tar;UR;Patm;Vh;Dir
2006;76;12.5;43200;-17.416;383.772;36.458;562.233;1179.333;429.3;9.07;0;25.19;73.58;92.945;1.961;67.588
2006;76;13.5;46800;-15.8261;324.88025;-10.816;424.3;883.9;322.133;8.06875;0;25.04;74.53;92.872;2.37;92.993
2006;76;14.5;50400;-22.8707;251.62025;-15.148;339.833;726.867;241.6;5.12775;0;25.14;75.92;92.816;1.353;352.665
2006;76;15.5;54000;-16.706;244.73225;-9.332;324.5;701.533;240.533;5.13275;0;25;77.84;92.768;2.387;37.588
2006;76;16.5;57600;-9.89285;66.32;-10.576;95.327;203.567;54.233;-1.511;0;22.59;88.5;92.769;1.876;2.225
2006;76;17.5;61200;2.1238;38.55675;-25.741;61.01;134.8;10.042;-2.77375;0;22.4;87;92.743;2.8;8.332
2006;76;18.5;64800;5.7222;-1.48375;-25.27;5.875;17.605;-31.753;-4.99925;0;22.1;86.33;92.765;2.648;13.457
2006;76;19.5;68400;11.7;-14.4105;1.681;-1.431;-0.075;-17.21;-4.4805;0;21.71;89.57;92.869;1.814;91.43
2006;76;20.5;72000;8.6741;9.39775;-18.65;-0.668;-0.066;-12.633;-3.38075;0;22.59;83.5;92.909;1.97;47.162
2006;76;21.5;75600;6.15475;3.068;-16.394;-0.987;-0.067;-16.74;-3.414;0;22.14;87.23;92.996;1.693;53.255
2006;76;22.5;79200;5.56625;-5.129;-19.923;-1.494;-0.072;-28.66;-3.608;0;22.07;87.17;93.023;2.119;40.554
2006;76;23.5;82800;6.51057;-9.14925;-16.117;-1.643;-0.072;-30.22;-4.95375;0;21.45;90.2;93.013;1.887;53.901
2006;77;0.5;0;7.0885;-4.412;-10.809;-1.047;-0.069;-19.39;-4.169;0;21.53;90.67;93.013;1.889;41.768
2006;77;1.5;3600;9.4696;-7.9625;-8.943;-1.39;-0.068;-20.973;-4.0675;0;21.03;93.6;92.97;1.848;81.716
2006;77;2.5;7200;9.9626;-12.494;-9.992;-1.532;-0.067;-27.447;-4.961;0;20.81;94.03;92.946;1.93;60.463
2006;77;3.5;10800;6.9171;-5.33625;-6.613;-1.067;-0.065;-16.703;-4.75375;0;20.98;92.57;92.959;1.445;128.318
2006;77;4.5;14400;6.9086;-31.759;-5.549;-1.624;-0.071;-43.037;-5.729;0;20.22;97.1;92.957;1.972;124.296
2006;77;5.5;18000;8.7462;-18.48625;-16.007;-2.244;-0.071;-40.75;-6.25675;0;20.26;96.27;92.968;2.174;100.822
2006;77;6.5;21600;6.48755;-8.91275;-25.134;7.689;19.025;-40.803;-6.75625;0;20.06;95.1;92.994;2.407;81.477
2006;77;7.5;25200;-3.58585;95.36625;-1.128;198.367;366.733;89.503;-4.73525;0;21.04;90.53;93.04;1.913;97.957
2006;77;8.5;28800;-15.24673;224.829;68.188;439.067;855.733;293.233;0.216;0;22.39;86.57;93.084;1.754;104.597
2006;77;9.5;32400;-15.3788;178.8745;18.071;263.9;517.6;200.3;3.3545;0;23.39;81.81;93.107;1.608;64.283
2006;77;10.5;36000;-27.14893;230.42775;12.367;364.3;761.1;246.7;3.90525;0;23.45;81.4;93.126;1.594;57.498
2006;77;11.5;39600;-25.3723;430.086;74.846;643.167;1386.9;514.467;9.535;0;25.14;75.08;93.076;1.914;75.583
2006;77;12.5;43200;-40.7786;641.09925;171.104;1031;2245;824.467;12.26375;0;25.62;74.29;93.023;1.427;22.595
2006;77;13.5;46800;-21.7576;251.65325;13.564;365.133;797.933;272.8;7.58275;0;24.95;77.44;92.96;1.478;44.393
2006;77;14.5;50400;-22.3035;332.323;26.493;504.767;1071;365.433;6.617;0;24.58;81.5;92.876;2.853;318.679
2006;77;15.5;54000;-21.3057;349.7825;41.657;572.133;1219.333;399;7.5605;0;25.25;78.79;92.791;2.79;296.447
2006;77;16.5;57600;-12.6192;242.97175;9.31;425.733;866.867;256.467;4.18525;0;25.77;73.83;92.696;2.218;307.396
2006;77;17.5;61200;2.1238;66.89825;-4.309;190.033;393.867;63.777;1.18775;0;25.89;73.94;92.702;1.362;293.241
2006;77;18.5;64800;3.198;-41.60125;-2.455;11.418;32.813;-45.867;-1.81075;0;25.1;76.67;92.71;2.168;291.025
2006;77;19.5;68400;11.7;-43.8635;0.196;-3.004;-0.081;-47.497;-3.8295;0;24.27;81.67;92.774;2.194;301.209
2006;77;20.5;72000;7.2267;-37.644;-3.137;-2.603;-0.079;-44.77;-3.989;0;24.35;76.33;92.837;2.531;313.643
2006;77;21.5;75600;3.5603;9.53325;-33.711;-1.774;-0.077;-27.847;-3.66925;0;23.29;82.63;92.921;2.341;20.084
2006;77;22.5;79200;2.614;-10.519;-4.235;-1.25;-0.084;-17.887;-3.133;0;22.13;89.63;92.994;3.186;193.975
2006;77;23.5;82800;5.81137;10.3;-23.997;-0.455;-0.082;-21.397;-7.7;1.27;19.8;96.47;93.069;3.149;88.952
2006;78;0.5;0;6.5908;-18.64475;-1.387;-0.232;-0.076;-28.833;-8.80125;0.254;19.48;93.53;93.031;1.757;111.959
2006;78;1.5;3600;8.24287;-2.548;-21.187;-0.048;-0.077;-32.21;-8.475;0;19.14;94.4;92.962;2.219;144.447
2006;78;2.5;7200;9.9626;-53.62025;-0.741;2.06;-0.08;-64.01;-9.64875;0;19.65;88.1;92.925;2.241;74.171
2006;78;3.5;10800;1.9828;-21.35325;-35.2;0.171;-0.073;-64.437;-7.88375;0;19.91;89.77;92.89;2.853;78.738
2006;78;4.5;14400;6.9086;-24.6815;-13.634;-1.662;-0.066;-45.983;-7.6675;0;19.42;94.53;92.858;2.675;109.423
2006;78;5.5;18000;5.9414;-16.6565;-6.119;-1.55;-0.067;-31.183;-8.4075;0;19.4;96.4;92.872;1.832;111.754
2006;78;6.5;21600;5.99357;-8.473;-17.681;4.647;14.651;-33.18;-7.026;0;19.33;96.57;92.916;2.406;96.212
2006;78;7.5;25200;-2.919;59.60875;-4.878;162.033;309.867;49.534;-5.19675;0;19.9;95.9;92.98;2.284;86.484
2006;78;8.5;28800;-14.7826;164.25775;21.63;269.367;539.967;186;0.11225;0;21.11;92.27;93.045;2.815;95.715
2006;78;9.5;32400;-18.0745;387.95725;65.698;609.433;1254.667;459;5.34475;0;23.3;83.83;93.069;3.052;101.968
2006;78;10.5;36000;-26.9359;510.17525;89.951;786.633;1663.667;609.3;9.17375;0;24.43;78.47;93.054;2.938;84.308
2006;78;11.5;39600;-28.5085;643.9025;61.572;904.5;1936.667;717.967;12.4925;0;25.41;70.37;93.027;2.239;43.341
2006;78;12.5;43200;-38.2501;663.8515;106.078;971.667;2128.667;782.867;12.9375;0;26.36;68.98;92.97;1.448;69.972
