SOILID,SLB,SLCL,SLSI,SLLL,SDUL,SSAT,SSKS,BEXP,Bperm,AEP,SRGF,SBDM,SLOC,SLCF,SLDR,SLRO,PTF
CEGLEIMAG1,51,54.23041201,21.79576319,0.278738546,0.361474144,0.424100064,1,,,,0.230769231,1.029520552,1.409358436,6.727121877,0.9,84,1
CEGLEIMAG1,77,56.33632132,20.09323158,0.281080759,0.356282673,0.414600107,1,,,,0.207645956,1.042141462,0.951537265,6.605709124,0.9,84,1
CEGLEIMAG1,103,57.83511364,17.36466067,0.280021036,0.347633438,0.401615349,1,,,,0.068593356,1.054559463,0.516547395,7.255600649,0.9,84,1
CEGLEIMAG1,129,59.03663524,18.19799961,0.283310931,0.348536801,0.402388745,1,,,,0,1.047951914,0.438761435,7.288315737,0.9,84,1
CEGLEIMAG1,233,59.03663524,18.19799961,0.283310931,0.348536801,0.402388745,1,,,,0,1.047951914,0.438761435,7.288315737,0.9,84,1
CEGLEIFAG1,3,27,36,0.196851016,0.332267339,0.428463375,5,,,,1,1.0786,3.056,16.4,0.9,84,1
CEGLEIFAG1,9,27,36,0.196851016,0.332267339,0.428463375,5,,,,1,1.0786,3.056,16.4,0.9,84,1
CEGLEIFAG1,19,27,36,0.196851016,0.332267339,0.428463375,5,,,,1,1.0786,3.056,16.4,0.9,84,1
CEGLEIFAG1,29,29.94748011,34.35456612,0.206265163,0.333247168,0.423163212,5,,,,1,1.08359967,2.666060629,15.56616142,0.9,84,1
CEGLEIFAG1,39,32.37007958,32.89316408,0.21386919,0.333647004,0.418211512,5,,,,1,1.088429033,2.332614627,14.89821144,0.9,84,1
CEGLEIFAG1,58,32.20397878,26.30106101,0.20646389,0.307341733,0.381126467,5,,,,0.2,1.119013077,1.764445623,18.09628647,0.9,84,1
CEGLEIFAG1,78,33.24917772,18.97825692,0.202860604,0.28123638,0.341565571,5,,,,0.2,1.152011802,1.029553619,20.96038651,0.9,84,1
CEGLEIFAG1,98,36.8,16.8,0.214025441,0.281716119,0.334107776,5,,,,0.04,1.15926,0.54,20,0.9,84,1
CEGLEIFAG1,178,36.8,16.8,0.214025441,0.281716119,0.334107776,5,,,,0.04,1.15926,0.54,20,0.9,84,1
CEGLEIFAA1,3,23.01111111,22.98888889,0.162039469,0.262363925,0.36765649,5,,,,1,1.062113333,3.853333333,15.75555556,0.9,84,1
