SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,97,0.066464188,0.122361659,0.184572169,0,3.5,1.32284432,0.68349338,9.757435168,9.245409782,39.24845169
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,121,0.062914173,0.126099704,0.197317176,0,3.5,1.327166667,0.981666667,7.5,10.66666667,36.66666667
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,3,0.178016824,0.423343546,0.554267516,0.7,5,1.104285,4.199166667,11.46666667,61.8,4.091666667
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,10,0.194512207,0.426308698,0.547477857,0.7,5,1.103016004,3.82339178,14.2488385,61.60223826,3.626060363
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,21,0.19739196,0.422348481,0.539586022,0.2,3.5,1.127799253,3.495142035,15.21668115,61.48784556,3.494133727
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,32,0.208293634,0.421572899,0.533524602,0.2,3.5,1.108240894,3.413880533,16.76869331,60.79052553,3.639078288
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,43,0.186628932,0.392321607,0.501423047,0.2,3.5,1.14937454,2.452368925,18.52540894,56.32749947,5.855984717
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,65,0.17711099,0.366622107,0.468685474,0.2,3.5,1.18520343,1.488067776,21.38827506,52.12670957,7.38913657
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,87,0.193311286,0.374985485,0.47261839,0,3.5,1.201525562,0.717687455,25.63485628,54.48622103,2.791764706
AMARGIFSL1,AMAZÔNIA,ARGISSOLO,Franco Siltosa,-6.0133,-64.65173333,0.6,73,109,0.200175492,0.377015826,0.471152622,0,3.5,1.193789651,0.65,26.70698413,54.48825397,3.006349206
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,3,0.049556424,0.112220239,0.225933643,0.7,5,1.0632125,7.115,2,6.5,44.625
